name,position,cost,points
Framber Valdez,P,11300.0,36.75
Pablo López,P,11000.0,37.7
Corbin Burnes,P,10800.0,34.5
Tyler Glasnow,P,10600.0,38.31
Charlie Morton,P,10300.0,33.34
Chris Bassitt,P,9700.0,31.64
Shane Bieber,P,9500.0,29.63
Chris Sale,P,9200.0,30.11
Cole Ragans,P,9000.0,19.18
Andrew Abbott,P,9000.0,31.68
Dean Kremer,P,8800.0,27.66
Dane Dunning,P,8400.0,23.68
Sawyer Gipson-Long,P,8300.0,37.5
Bryce Miller,P,8200.0,27.52
Taijuan Walker,P,8100.0,26.48
Tylor Megill,P,8000.0,21.43
Brandon Pfaadt,P,7600.0,20.47
Touki Toussaint,P,7500.0,19.83
Patrick Corbin,P,7500.0,23.7
Ken Waldichuk,P,7400.0,16.72
Jameson Taillon,P,7300.0,23.07
Luis Ortiz,P,7000.0,18.37
Sean Manaea,P,6800.0,15.42
Noah Davis,P,6700.0,8.33
Matt Waldron,P,6400.0,17.33
Luke Weaver,P,6400.0,15.0
Dakota Hudson,P,6400.0,16.18
Caleb Ferguson,P,5500.0,5.73
Davis Daniel,P,5500.0,12.0
Ronald Acuña Jr.,OF,5000.0,16.92
Mookie Betts,OF/2B/SS,4500.0,14.73
Julio Rodríguez,OF,4400.0,13.53
Matt Olson,1B,4400.0,14.53
Jose Altuve,2B,4300.0,14.14
Freddie Freeman,1B,4300.0,13.98
Corey Seager,SS,4300.0,14.64
Bobby Witt Jr.,SS,4200.0,12.84
Royce Lewis,SS/3B,4200.0,13.03
Pete Alonso,1B,4200.0,12.22
Juan Soto,OF,4200.0,12.4
Rafael Devers,3B,4100.0,11.84
Kyle Schwarber,OF,4100.0,12.18
Aaron Judge,OF,4100.0,13.16
José Ramírez,3B,4000.0,11.85
Trea Turner,SS,4000.0,11.69
Corbin Carroll,OF,4000.0,13.07
Yordan Alvarez,OF,4000.0,13.63
Fernando Tatis Jr.,OF,4000.0,12.3
Austin Riley,3B,3900.0,11.93
Cody Bellinger,OF/1B,3900.0,13.29
Gunnar Henderson,3B/SS,3800.0,11.18
Ozzie Albies,2B,3800.0,12.39
Francisco Lindor,SS,3700.0,11.92
Jazz Chisholm Jr.,OF,3700.0,10.78
Bryce Harper,1B/OF,3700.0,11.88
J.D. Martinez,OF,3700.0,12.53
Ketel Marte,2B,3700.0,11.44
Paul Goldschmidt,1B,3600.0,11.16
Max Muncy,3B,3600.0,12.35
Marcus Semien,2B,3600.0,12.48
Yandy Díaz,1B/3B,3600.0,11.74
Kyle Tucker,OF,3600.0,12.81
Vladimir Guerrero Jr.,1B,3600.0,10.37
Adolis García,OF,3600.0,12.29
Adley Rutschman,C,3500.0,10.37
Alex Bregman,3B,3500.0,11.41
Nick Castellanos,OF,3500.0,10.92
Randy Arozarena,OF,3500.0,11.44
Nolan Jones,OF/1B,3500.0,11.83
Will Smith,C,3500.0,11.02
Davis Schneider,2B,3500.0,12.81
Jorge Soler,OF,3400.0,11.12
CJ Abrams,SS,3400.0,10.51
Luis Robert Jr.,OF,3400.0,11.66
Bryan Reynolds,OF,3400.0,11.06
Manny Machado,3B,3400.0,10.53
Zack Gelof,2B,3400.0,12.24
Steven Kwan,OF,3400.0,10.0
Nico Hoerner,2B/SS,3400.0,11.56
Jonathan India,2B,3400.0,10.69
Anthony Santander,OF/1B,3300.0,10.66
Justin Turner,1B/3B,3300.0,11.25
Jake Burger,3B,3300.0,10.15
Josh Jung,3B,3300.0,10.99
Thairo Estrada,2B/SS,3300.0,10.52
Marcell Ozuna,OF,3300.0,11.15
Sean Murphy,C,3300.0,11.07
Spencer Steer,OF/1B,3300.0,10.65
Xander Bogaerts,SS,3300.0,10.02
Christian Yelich,OF,3300.0,11.87
Josh Naylor,1B,3300.0,11.28
Nolan Arenado,3B,3300.0,10.23
Spencer Torkelson,1B,3200.0,10.38
Chas McCormick,OF,3200.0,11.42
Christopher Morel,OF/3B/2B,3200.0,10.87
Cedric Mullins,OF,3200.0,10.72
Bo Bichette,SS,3200.0,10.18
Ha-Seong Kim,2B/3B/SS,3200.0,10.55
Gleyber Torres,2B,3200.0,10.39
Mark Canha,OF/1B,3200.0,8.45
Tommy Pham,OF,3200.0,9.99
Ian Happ,OF,3200.0,10.8
Christian Walker,1B,3200.0,11.15
Ke'Bryan Hayes,3B,3200.0,10.12
Jorge Polanco,3B/2B,3200.0,10.56
Luis Arraez,2B,3200.0,9.73
Lane Thomas,OF,3200.0,11.32
Michael Harris II,OF,3200.0,10.15
Brandon Lowe,2B,3200.0,10.4
Elly De La Cruz,3B/SS,3200.0,11.26
Mitch Garver,C,3200.0,10.67
William Contreras,C,3200.0,10.85
Cal Raleigh,C,3100.0,9.65
George Springer,OF,3100.0,10.24
Bryson Stott,2B,3100.0,10.2
Andrés Giménez,2B,3100.0,9.5
Brandon Nimmo,OF,3100.0,10.59
Whit Merrifield,2B/OF,3100.0,9.45
J.P. Crawford,SS,3100.0,10.45
Lars Nootbaar,OF,3100.0,10.63
Seiya Suzuki,OF,3100.0,10.37
Nathaniel Lowe,1B,3100.0,10.5
Ryan O'Hearn,1B/OF,3100.0,8.97
Lourdes Gurriel Jr.,OF,3100.0,9.95
TJ Friedl,OF,3100.0,10.0
Carlos Santana,1B,3000.0,9.85
Austin Hays,OF,3000.0,9.43
Kerry Carpenter,OF,3000.0,10.02
Isaac Paredes,3B/1B/2B,3000.0,10.63
Jake Rogers,C,3000.0,8.03
Ryan McMahon,2B/3B,3000.0,9.93
Charlie Blackmon,OF,3000.0,10.1
Dansby Swanson,SS,3000.0,10.38
Adam Duvall,OF,3000.0,10.8
Willy Adames,SS,3000.0,9.82
Wilmer Flores,1B/3B/2B,3000.0,9.12
Jonah Heim,C,3000.0,9.91
Josh Lowe,OF,3000.0,10.62
Edouard Julien,2B,3000.0,8.94
Sal Frelick,OF,3000.0,9.82
Evan Carter,OF,3000.0,11.42
Ronny Mauricio,SS/2B/3B,3000.0,9.61
Giancarlo Stanton,OF,2900.0,9.44
Nelson Velázquez,OF,2900.0,10.83
C.J. Cron,1B,2900.0,9.02
Logan O'Hoppe,C,2900.0,8.93
Yoán Moncada,3B,2900.0,8.15
Luis Campusano,C,2900.0,9.42
José Abreu,1B,2900.0,8.78
Ryan Jeffers,C,2900.0,8.39
Brandon Drury,1B/2B,2900.0,10.14
Brent Rooker,OF,2900.0,9.47
Andrew Vaughn,1B,2900.0,9.12
Travis d'Arnaud,C,2900.0,8.72
Matt Vierling,OF,2900.0,7.87
Eugenio Suárez,3B,2900.0,9.41
Eddie Rosario,OF,2900.0,8.82
Will Benson,OF,2900.0,8.67
Alex Verdugo,OF,2900.0,9.56
Teoscar Hernández,OF,2900.0,9.88
Joey Votto,1B,2900.0,9.39
Max Kepler,OF,2900.0,9.29
Wilyer Abreu,OF,2900.0,8.74
Randal Grichuk,OF,2900.0,9.16
Kole Calhoun,OF,2900.0,8.64
Yainer Diaz,C,2900.0,9.85
Masataka Yoshida,OF,2900.0,9.96
Ryan Noda,1B,2900.0,9.24
Mike Yastrzemski,OF,2900.0,9.09
Ezequiel Tovar,SS,2900.0,9.1
Jack Suwinski,OF,2900.0,9.62
Tommy Edman,SS/2B/OF,2900.0,8.9
Alec Bohm,3B/1B,2900.0,10.19
Esteury Ruiz,OF,2900.0,9.63
Jarred Kelenic,OF,2900.0,9.67
Taylor Walls,SS/3B/2B,2800.0,8.92
Bryan De La Cruz,OF,2800.0,8.77
Michael Brantley,OF,2800.0,8.09
Jake Fraley,OF,2800.0,9.85
Jordan Walker,OF,2800.0,9.1
Nick Martini,OF,2800.0,6.64
Matt Wallner,OF,2800.0,9.22
Akil Baddoo,OF,2800.0,6.89
Jesús Sánchez,OF,2800.0,7.62
Harold Ramírez,OF,2800.0,8.59
J.T. Realmuto,C,2800.0,9.71
Mike Ford,1B,2800.0,7.75
Andrew Benintendi,OF,2800.0,8.37
Christian Encarnacion-Strand,3B/1B,2800.0,8.61
J.D. Davis,3B,2800.0,8.66
Kris Bryant,OF,2800.0,8.3
Mike Tauchman,OF,2800.0,9.02
Jurickson Profar,OF,2800.0,8.27
Zach Neto,SS,2800.0,8.47
Nolan Schanuel,1B,2800.0,9.48
Michael Conforto,OF,2800.0,8.76
Eloy Jiménez,OF,2800.0,9.0
DJ Stewart,OF,2800.0,8.92
Brandon Marsh,OF,2800.0,8.82
Jeff McNeil,2B/OF,2800.0,8.6
Orlando Arcia,SS,2800.0,8.62
Leody Taveras,OF,2800.0,9.12
Ty France,1B,2800.0,8.5
Robbie Grossman,OF,2800.0,8.42
Hunter Goodman,C,2800.0,9.35
Chris Taylor,OF/3B/SS,2800.0,8.84
Eguy Rosario,SS,2800.0,8.51
James Outman,OF,2800.0,9.74
Maikel Garcia,3B/SS,2800.0,9.2
Trevor Larnach,OF,2800.0,8.99
Francisco Álvarez,C,2800.0,8.31
Geraldo Perdomo,SS/2B,2700.0,7.94
Shea Langeliers,C,2700.0,7.79
Jeremy Peña,SS,2700.0,9.06
Michael A. Taylor,OF,2700.0,7.42
Daulton Varsho,OF,2700.0,7.75
Ji Hwan Bae,2B/OF,2700.0,7.58
Willi Castro,3B/SS/OF,2700.0,8.6
MJ Melendez,C/OF,2700.0,8.55
Josh Rojas,3B/2B,2700.0,7.28
Keibert Ruiz,C,2700.0,8.23
Carter Kieboom,3B,2700.0,6.95
Luis García,2B,2700.0,8.19
Josh Bell,1B,2700.0,8.59
Liover Peguero,SS/2B,2700.0,8.06
