name,position,cost,points
Pablo López,P,11300.0,37.77
Gerrit Cole,P,11100.0,38.87
Tarik Skubal,P,10800.0,35.57
Framber Valdez,P,10600.0,36.46
Tyler Glasnow,P,10200.0,37.65
José Berríos,P,9900.0,31.61
Ranger Suárez,P,9600.0,29.42
Grayson Rodriguez,P,9400.0,27.77
Shane Bieber,P,9200.0,29.05
Andrew Abbott,P,9000.0,31.5
Brayan Bello,P,8800.0,28.33
Griffin Canning,P,8600.0,28.6
Johan Oviedo,P,8400.0,27.32
Dane Dunning,P,8200.0,23.45
Wade Miley,P,8000.0,24.72
Bryce Miller,P,7800.0,26.41
Jameson Taillon,P,7600.0,24.0
Brandon Pfaadt,P,7400.0,20.55
Patrick Corbin,P,7100.0,22.96
Sean Manaea,P,6900.0,16.02
Emmet Sheehan,P,6700.0,21.5
Noah Davis,P,6700.0,9.71
Matt Waldron,P,6500.0,20.71
Luis Patiño,P,6400.0,10.28
Joey Estes,P,6100.0,5.0
Zack Thompson,P,5900.0,13.54
Darius Vines,P,5800.0,14.75
Jonathan Bowlan,P,5500.0,0.0
Ronald Acuña Jr.,OF,5000.0,16.98
Mookie Betts,OF/2B/SS,4900.0,14.67
Freddie Freeman,1B,4700.0,13.99
Matt Olson,1B,4500.0,14.47
J.D. Martinez,OF,4500.0,12.53
Corey Seager,SS,4400.0,14.54
Aaron Judge,OF,4300.0,13.66
Julio Rodríguez,OF,4200.0,13.37
Jose Altuve,2B,4200.0,13.86
Max Muncy,3B,4200.0,12.3
Nolan Jones,OF/1B,4200.0,12.04
Juan Soto,OF,4200.0,12.72
Corbin Carroll,OF,4100.0,13.03
Bobby Witt Jr.,SS,4000.0,12.79
Kyle Schwarber,OF,4000.0,12.07
Austin Riley,3B,4000.0,12.08
José Ramírez,3B,3900.0,11.82
Yordan Alvarez,OF,3900.0,13.68
Ozzie Albies,2B,3900.0,12.3
Will Smith,C,3900.0,10.83
Trea Turner,SS,3800.0,11.59
Gunnar Henderson,3B/SS,3800.0,11.32
Christian Yelich,OF,3800.0,12.13
Cody Bellinger,OF/1B,3800.0,13.14
Fernando Tatis Jr.,OF,3800.0,12.17
Bryce Harper,1B/OF,3700.0,12.03
Rafael Devers,3B,3700.0,11.6
Kyle Tucker,OF,3700.0,12.83
Adolis García,OF,3700.0,12.36
Nick Castellanos,OF,3600.0,10.98
Marcus Semien,2B,3600.0,12.52
Yandy Díaz,1B/3B,3600.0,11.77
