name,position,cost,points
Jordan Montgomery,P,10200.0,31.25
Logan Gilbert,P,8900.0,32.93
Ryan Yarbrough,P,6900.0,16.83
Chris Flexen,P,5900.0,10.25
Mookie Betts,OF/2B/SS,4900.0,14.67
Freddie Freeman,1B,4600.0,14.14
J.D. Martinez,OF,4500.0,12.44
Corey Seager,SS,4400.0,14.47
Julio Rodríguez,OF,4200.0,13.34
Nolan Jones,OF/1B,4200.0,11.95
Max Muncy,3B,4100.0,12.23
Adolis García,OF,3800.0,12.47
Will Smith,C,3800.0,10.82
Marcus Semien,2B,3600.0,12.59
Evan Carter,OF,3400.0,12.77
James Outman,OF,3400.0,9.93
Josh Jung,3B,3300.0,10.61
Ezequiel Tovar,SS,3300.0,8.98
Ryan McMahon,2B/3B,3300.0,9.7
Charlie Blackmon,OF,3300.0,9.78
Elias Díaz,C,3200.0,7.99
Hunter Goodman,C,3200.0,8.21
Chris Taylor,OF/3B/SS,3200.0,8.8
Mitch Garver,C,3200.0,10.72
Kris Bryant,OF,3200.0,8.26
J.P. Crawford,SS,3200.0,10.5
Amed Rosario,SS,3200.0,8.48
Jason Heyward,OF,3100.0,7.49
Nathaniel Lowe,1B,3000.0,10.32
Teoscar Hernández,OF,3000.0,9.8
Elehuris Montero,3B/1B,2900.0,7.41
Eugenio Suárez,3B,2900.0,9.38
Cal Raleigh,C,2900.0,9.71
Brenton Doyle,OF,2900.0,7.11
David Peralta,OF,2900.0,6.72
Jonah Heim,C,2900.0,9.78
Leody Taveras,OF,2900.0,9.04
Brendan Rodgers,2B,2900.0,8.29
Jarred Kelenic,OF,2900.0,9.59
Robbie Grossman,OF,2800.0,8.36
Kolten Wong,2B,2800.0,5.17
Miguel Rojas,SS/2B,2800.0,6.3
Alan Trejo,SS,2800.0,5.09
Ty France,1B,2800.0,8.44
Kiké Hernández,2B/SS/OF,2800.0,7.14
Sean Bouchard,1B,2700.0,3.7
Josh Rojas,3B/2B,2700.0,7.25
Ezequiel Duran,SS/OF/3B,2700.0,8.36
Mike Ford,1B,2700.0,7.58
Austin Barnes,C,2600.0,4.77
Harold Castro,1B/3B/OF,2500.0,4.65
Yonny Hernández,3B/2B,2500.0,3.64
Michael Toglia,1B,2500.0,5.51
Jonny DeLuca,OF,2500.0,4.41
Michael Busch,3B,2500.0,5.41
Miguel Vargas,2B,2500.0,8.06
Dominic Canzone,OF,2500.0,6.72
Óscar Mercado,OF,2500.0,3.9
Coco Montes,2B,2500.0,3.61
Connor Kaiser,SS,2500.0,0.0
Austin Wynns,C,2500.0,4.32
Travis Jankowski,OF,2500.0,6.43
Cole Tucker,OF/2B,2500.0,6.27
David Dahl,OF,2500.0,4.67
José Caballero,3B/2B/SS,2500.0,7.12
Tucker Barnhart,C,2500.0,3.74
Dylan Moore,OF/SS/2B,2400.0,6.24
Sam Haggerty,2B/1B/OF,2100.0,4.94
Austin Hedges,C,2100.0,3.35
Sam Huff,C,2100.0,5.19
Jonathan Ornelas,3B,2100.0,1.54
Josh Smith,OF/SS/3B,2100.0,5.0
Luis Torrens,C,2000.0,3.12
Adam Engel,OF,2000.0,0.0
Brian O'Keefe,C,2000.0,3.12
Taylor Trammell,OF,2000.0,6.17
J.P. Martínez,OF,2000.0,4.78
Tommy La Stella,2B/3B,2000.0,3.11
Cooper Hummel,OF,2000.0,3.03
Josh Harrison,3B/2B/OF,2000.0,4.33
Cade Marlowe,OF,2000.0,7.47
