name,position,cost,points
Gerrit Cole,P,11500.0,38.25
José Berríos,P,10800.0,31.9
Max Fried,P,10600.0,33.61
Tarik Skubal,P,10300.0,33.61
Ranger Suárez,P,9300.0,29.3
Grayson Rodriguez,P,9000.0,27.66
Kyle Hendricks,P,8400.0,25.4
Kyle Harrison,P,8300.0,25.6
Johan Oviedo,P,8200.0,26.8
David Peterson,P,7900.0,19.8
Emmet Sheehan,P,7200.0,20.0
Jake Irvin,P,7100.0,22.95
Luis Medina,P,7000.0,20.47
Hunter Gaddis,P,6200.0,14.3
Ronald Acuña Jr.,OF,5000.0,16.91
Mookie Betts,OF/2B/SS,4500.0,14.81
Matt Olson,1B,4400.0,14.46
Freddie Freeman,1B,4300.0,13.99
Pete Alonso,1B,4200.0,12.28
Kyle Schwarber,OF,4100.0,12.22
José Ramírez,3B,4000.0,11.8
Trea Turner,SS,4000.0,11.71
Austin Riley,3B,3900.0,11.86
Aaron Judge,OF,3900.0,13.17
Cody Bellinger,OF/1B,3900.0,13.28
Gunnar Henderson,3B/SS,3800.0,11.24
Ozzie Albies,2B,3800.0,12.11
J.D. Martinez,OF,3700.0,12.38
Francisco Lindor,SS,3700.0,11.86
Bryce Harper,1B/OF,3700.0,11.9
Vladimir Guerrero Jr.,1B,3600.0,10.42
Max Muncy,3B,3600.0,12.42
Nick Castellanos,OF,3500.0,10.78
Will Smith,C,3500.0,11.01
Davis Schneider,2B,3500.0,13.23
Bryan Reynolds,OF,3400.0,11.12
Adley Rutschman,C,3400.0,10.32
CJ Abrams,SS,3400.0,10.58
Zack Gelof,2B,3400.0,12.34
Nico Hoerner,2B/SS,3400.0,11.53
Anthony Santander,OF/1B,3300.0,10.71
Josh Naylor,1B,3300.0,11.21
Thairo Estrada,2B/SS,3300.0,10.61
Marcell Ozuna,OF,3300.0,11.18
Sean Murphy,C,3300.0,11.07
Spencer Torkelson,1B,3200.0,10.36
Ian Happ,OF,3200.0,10.81
Lane Thomas,OF,3200.0,11.37
Michael Harris II,OF,3200.0,10.03
Christopher Morel,OF/3B/2B,3200.0,10.98
Cedric Mullins,OF,3200.0,10.82
Bo Bichette,SS,3200.0,10.23
Steven Kwan,OF,3200.0,10.0
Gleyber Torres,2B,3200.0,10.42
Seiya Suzuki,OF,3100.0,10.45
Ryan O'Hearn,1B/OF,3100.0,8.96
George Springer,OF,3100.0,10.29
Bryson Stott,2B,3100.0,10.25
Andrés Giménez,2B,3100.0,9.5
Brandon Nimmo,OF,3100.0,10.6
Austin Hays,OF,3000.0,9.48
Wilmer Flores,1B/3B/2B,3000.0,9.17
Ke'Bryan Hayes,3B,3000.0,10.05
Kerry Carpenter,OF,3000.0,9.98
Dansby Swanson,SS,3000.0,10.25
Giancarlo Stanton,OF,2900.0,9.44
Eddie Rosario,OF,2900.0,8.84
Kole Calhoun,OF,2900.0,8.87
Jake Rogers,C,2900.0,8.11
Brent Rooker,OF,2900.0,9.37
Ryan Noda,1B,2900.0,9.32
Mike Yastrzemski,OF,2900.0,9.13
Travis d'Arnaud,C,2900.0,8.66
Matt Vierling,OF,2900.0,7.78
Jack Suwinski,OF,2900.0,9.53
Whit Merrifield,2B/OF,2900.0,9.52
Alec Bohm,3B/1B,2900.0,10.13
Esteury Ruiz,OF,2900.0,9.68
Michael Conforto,OF,2800.0,8.84
DJ Stewart,OF,2800.0,8.92
Brandon Marsh,OF,2800.0,8.82
Jeff McNeil,2B/OF,2800.0,8.43
Orlando Arcia,SS,2800.0,8.54
Chris Taylor,OF/3B/SS,2800.0,8.75
Akil Baddoo,OF,2800.0,6.96
J.T. Realmuto,C,2800.0,9.77
James Outman,OF,2800.0,9.74
J.D. Davis,3B,2800.0,8.7
Mike Tauchman,OF,2800.0,8.95
Francisco Álvarez,C,2800.0,8.35
Ronny Mauricio,SS/2B/3B,2800.0,10.21
DJ LeMahieu,3B/1B/2B,2700.0,8.07
Joey Meneses,1B,2700.0,9.3
LaMonte Wade Jr.,1B,2700.0,8.74
Shea Langeliers,C,2700.0,7.86
Connor Joe,1B/OF,2700.0,7.88
Daulton Varsho,OF,2700.0,7.75
Ji Hwan Bae,2B/OF,2700.0,7.47
Keibert Ruiz,C,2700.0,8.3
Carter Kieboom,3B,2700.0,6.99
Luis García,2B,2700.0,8.18
Liover Peguero,SS/2B,2700.0,8.21
Tony Kemp,2B/OF,2700.0,6.47
Jason Heyward,OF,2700.0,7.75
Parker Meadows,OF,2700.0,8.28
Matt Chapman,3B,2700.0,9.15
Amed Rosario,SS,2700.0,8.52
Alexander Canario,OF,2600.0,19.35
Oswald Peraza,SS/2B/3B,2600.0,5.84
Ramón Laureano,OF,2600.0,8.27
Jordan Westburg,SS/3B,2600.0,7.55
Patrick Wisdom,1B/3B/OF,2600.0,8.4
Jacob Young,OF,2600.0,7.94
Mitch Haniger,OF,2600.0,8.32
Joc Pederson,OF,2600.0,8.59
Aaron Hicks,OF,2600.0,7.93
Spencer Horwitz,1B,2600.0,7.17
Yan Gomes,C,2600.0,7.67
Anthony Volpe,SS,2600.0,8.7
Seth Brown,OF,2600.0,7.34
Johan Rojas,OF,2600.0,7.65
Henry Davis,C/OF,2600.0,7.9
Bo Naylor,C,2600.0,8.8
Alex Call,OF,2500.0,6.47
Adam Frazier,2B/OF,2500.0,7.8
Cavan Biggio,2B/1B,2500.0,7.04
Patrick Bailey,C,2500.0,7.52
David Peralta,OF,2500.0,6.61
Miguel Andujar,3B/OF,2500.0,7.84
Javier Báez,SS,2500.0,7.83
Jake Bauers,1B/OF,2500.0,6.87
Zach McKinstry,2B/3B/OF,2500.0,6.95
Ramón Urías,3B/2B/1B,2500.0,7.35
Alfonso Rivas,1B,2500.0,4.87
Estevan Florial,OF,2500.0,6.95
Carlos Pérez,C/1B,2500.0,5.41
Will Brennan,OF,2500.0,6.39
Jorge Mateo,SS,2500.0,7.64
Jake Cave,OF,2400.0,6.33
Heston Kjerstad,OF,2400.0,7.23
Pete Crow-Armstrong,OF,2400.0,2.11
